variant,week_ending,share
BA.4.6,2022-10-22,0.113204591
BF.7,2022-10-22,0.06650722
BQ.1,2022-10-22,0.093988135
BA.2.75,2022-10-22,0.015594382
BQ.1.1,2022-10-22,0.071612872
BA.2.75.2,2022-10-22,0.013429973
Other,2022-10-22,1.03e-05
Other,2022-10-22,1.09e-06
Other,2022-10-22,5.89e-07
Other,2022-10-22,2.26e-07
Other,2022-10-22,0.000185971
BA.5,2022-10-22,0.621678591
Other,2022-10-22,0.00378544
Other,2022-10-22,6.39e-07
BA.4.6,2022-10-15,0.119251385
BF.7,2022-10-15,0.054447364
BQ.1,2022-10-15,0.057626966
BA.2.75,2022-10-15,0.014343166
BQ.1.1,2022-10-15,0.03619647
BA.2.75.2,2022-10-15,0.010429993
Other,2022-10-15,2.29e-05
Other,2022-10-15,1.9e-06
Other,2022-10-15,9.05e-07
Other,2022-10-15,4.05e-07
Other,2022-10-15,0.000256235
BA.5,2022-10-15,0.70181936
Other,2022-10-15,0.005601342
Other,2022-10-15,1.55e-06
BA.4.6,2022-10-15,0.122120246
BF.7,2022-10-15,0.052955095
BA.2.75,2022-10-15,0.012713832
BQ.1,2022-10-15,0.056596011
BA.2.75.2,2022-10-15,0.014365491
Other,2022-10-15,2.2e-05
BQ.1.1,2022-10-15,0.057117522
Other,2022-10-15,3.66e-07
Other,2022-10-15,4.52e-07
Other,2022-10-15,9.45e-08
Other,2022-10-15,6.4e-05
BA.5,2022-10-15,0.678518534
Other,2022-10-15,0.005525742
Other,2022-10-15,6.49e-07
BA.4.6,2022-10-08,0.119431108
BF.7,2022-10-08,0.042377915
BQ.1,2022-10-08,0.033591785
BA.2.75,2022-10-08,0.01254228
BQ.1.1,2022-10-08,0.017393859
Other,2022-10-08,0.007701007
Other,2022-10-08,4.87e-05
Other,2022-10-08,3.15e-06
Other,2022-10-08,1.32e-06
Other,2022-10-08,6.91e-07
Other,2022-10-08,0.00033565
BA.5,2022-10-08,0.758689046
Other,2022-10-08,0.007879931
Other,2022-10-08,3.59e-06
BA.4.6,2022-10-08,0.123411611
BF.7,2022-10-08,0.041837823
BA.2.75,2022-10-08,0.011399264
BQ.1,2022-10-08,0.03305224
BA.2.75.2,2022-10-08,0.010217102
Other,2022-10-08,4.74e-05
BQ.1.1,2022-10-08,0.024423784
Other,2022-10-08,6.92e-07
Other,2022-10-08,7.22e-07
Other,2022-10-08,1.79e-07
Other,2022-10-08,9.47e-05
BA.5,2022-10-08,0.74764365
Other,2022-10-08,0.007869244
Other,2022-10-08,1.6e-06
BA.4.6,2022-10-08,0.135768533
BF.7,2022-10-08,0.045911118
BA.2.75,2022-10-08,0.018360153
Other,2022-10-08,5.03e-05
Other,2022-10-08,9.93e-07
Other,2022-10-08,6.36e-08
Other,2022-10-08,3e-07
Other,2022-10-08,3.14e-07
Other,2022-10-08,2.6e-07
BA.5,2022-10-08,0.791729748
Other,2022-10-08,0.008178201
BA.4.6,2022-10-01,0.119453184
BF.7,2022-10-01,0.03165948
Other,2022-10-01,0.009789275
BQ.1,2022-10-01,0.018487973
Other,2022-10-01,0.006959986
Other,2022-10-01,9.77e-05
BQ.1.1,2022-10-01,0.010002992
Other,2022-10-01,1.25e-06
Other,2022-10-01,1.1e-06
Other,2022-10-01,3.25e-07
Other,2022-10-01,0.000134252
BA.5,2022-10-01,0.792674601
BA.4,2022-10-01,0.010734093
Other,2022-10-01,3.79e-06
BA.4.6,2022-10-01,0.127525032
BF.7,2022-10-01,0.033618771
Other,2022-10-01,0.000101249
BA.2.75,2022-10-01,0.014478078
Other,2022-10-01,1.54e-06
Other,2022-10-01,1e-08
Other,2022-10-01,2.91e-06
Other,2022-10-01,4.41e-07
Other,2022-10-01,3.88e-07
BA.5,2022-10-01,0.813213825
BA.4,2022-10-01,0.011057734
BA.4.6,2022-10-01,0.126582012
BF.7,2022-10-01,0.033244159
BA.2.75,2022-10-01,0.014709314
Other,2022-10-01,0.000100303
Other,2022-10-01,2.35e-06
Other,2022-10-01,1.31e-07
Other,2022-10-01,4.74e-07
Other,2022-10-01,5.62e-07
Other,2022-10-01,5.12e-07
BA.5,2022-10-01,0.814573586
BA.4,2022-10-01,0.010786628
Other,2022-10-01,0.0
Other,2022-10-01,0.0
Other,2022-10-01,0.0
Other,2022-10-01,0.003437766
Other,2022-10-01,0.000278886
BA.2.75,2022-10-01,0.011687981
Other,2022-10-01,0.005018735
BA.4,2022-10-01,0.012632536
BA.4.6,2022-10-01,0.107313551
BA.5,2022-10-01,0.801599562
BF.7,2022-10-01,0.029696628
BQ.1,2022-10-01,0.017697994
Other,2022-10-01,0.008761239
Other,2022-10-01,0.001875104
BA.4.6,2022-09-24,0.117665663
BF.7,2022-09-24,0.024062159
Other,2022-09-24,0.000199814
BA.2.75,2022-09-24,0.011512931
Other,2022-09-24,3.7e-06
Other,2022-09-24,2.41e-08
Other,2022-09-24,3.99e-06
Other,2022-09-24,7.93e-07
Other,2022-09-24,7.74e-07
BA.5,2022-09-24,0.832135856
BA.4,2022-09-24,0.014414292
BA.4.6,2022-09-24,0.117008358
BF.7,2022-09-24,0.023866287
BA.2.75,2022-09-24,0.011683704
Other,2022-09-24,0.000198247
Other,2022-09-24,5.49e-06
Other,2022-09-24,2.66e-07
Other,2022-09-24,7.43e-07
Other,2022-09-24,1e-06
Other,2022-09-24,9.99e-07
BA.5,2022-09-24,0.83312887
BA.4,2022-09-24,0.014106039
Other,2022-09-24,0.0
Other,2022-09-24,0.0
Other,2022-09-24,0.0
Other,2022-09-24,0.002246601
Other,2022-09-24,0.000349587
Other,2022-09-24,0.008948929
Other,2022-09-24,0.003990019
BA.4,2022-09-24,0.013452788
BA.4.6,2022-09-24,0.11381492
BA.5,2022-09-24,0.818847895
BF.7,2022-09-24,0.02079156
BQ.1,2022-09-24,0.011142764
Other,2022-09-24,0.005437498
Other,2022-09-24,0.000977414
BA.4.6,2022-09-24,0.119152173
Other,2022-09-24,0.000197239
BF.7,2022-09-24,0.022563329
Other,2022-09-24,2.63e-06
BA.2.75,2022-09-24,0.013549251
Other,2022-09-24,1.48e-09
Other,2022-09-24,5.36e-07
Other,2022-09-24,3.38e-07
Other,2022-09-24,5.09e-07
BA.5,2022-09-24,0.830699205
BA.4,2022-09-24,0.013834778
Other,2022-09-24,0.0
Other,2022-09-24,6.15e-05
Other,2022-09-24,6.82e-05
Other,2022-09-24,0.002207339
Other,2022-09-24,0.000347056
Other,2022-09-24,0.008654097
Other,2022-09-24,0.004038582
BA.4,2022-09-24,0.012409564
BA.4.6,2022-09-24,0.111559741
BA.5,2022-09-24,0.822124362
BF.7,2022-09-24,0.020836271
BQ.1,2022-09-24,0.011873508
Other,2022-09-24,0.004627645
Other,2022-09-24,0.00119216
BA.4.6,2022-09-17,0.10772264
BF.7,2022-09-17,0.017087962
Other,2022-09-17,0.000391261
Other,2022-09-17,0.009083725
Other,2022-09-17,8.82e-06
Other,2022-09-17,5.73e-08
Other,2022-09-17,5.43e-06
Other,2022-09-17,1.42e-06
Other,2022-09-17,1.53e-06
BA.5,2022-09-17,0.847052634
BA.4,2022-09-17,0.018644506
Other,2022-09-17,4.53e-05
Other,2022-09-17,8.56e-05
Other,2022-09-17,0.000195971
Other,2022-09-17,0.002594085
Other,2022-09-17,0.00052009
Other,2022-09-17,0.006166969
Other,2022-09-17,0.003619341
BA.4,2022-09-17,0.024333399
BA.4.6,2022-09-17,0.105506338
BA.5,2022-09-17,0.829783678
BF.7,2022-09-17,0.019133646
Other,2022-09-17,0.005239521
Other,2022-09-17,0.001812211
Other,2022-09-17,0.000963764
BA.4.6,2022-09-17,0.108978696
Other,2022-09-17,0.000387159
BF.7,2022-09-17,0.016161339
Other,2022-09-17,6.42e-06
BA.2.75,2022-09-17,0.010462419
Other,2022-09-17,4.2e-09
Other,2022-09-17,8.56e-07
Other,2022-09-17,6.49e-07
Other,2022-09-17,1.04e-06
BA.5,2022-09-17,0.846028268
BA.4,2022-09-17,0.017973127
Other,2022-09-17,0.0
Other,2022-09-17,8.74e-05
Other,2022-09-17,0.000202146
Other,2022-09-17,0.002876084
Other,2022-09-17,0.000509384
BA.2.75,2022-09-17,0.010071138
BA.4,2022-09-17,0.024264384
BA.4.6,2022-09-17,0.105216749
BA.5,2022-09-17,0.838114023
BF.7,2022-09-17,0.018627575
Other,2022-09-17,3.12e-05
BA.4.6,2022-09-17,0.102998801
Other,2022-09-17,0.000374286
Other,2022-09-17,4.83e-06
BF.7,2022-09-17,0.017254325
BA.2.75,2022-09-17,0.013438567
Other,2022-09-17,2.55e-10
Other,2022-09-17,0.0
Other,2022-09-17,2.27e-07
Other,2022-09-17,5.91e-07
BA.5,2022-09-17,0.848413229
BA.4,2022-09-17,0.017515143
Other,2022-09-17,4.23e-05
Other,2022-09-17,8.52e-05
Other,2022-09-17,0.000183082
Other,2022-09-17,0.002654188
Other,2022-09-17,0.000549846
Other,2022-09-17,0.006500711
Other,2022-09-17,0.003613958
BA.4,2022-09-17,0.02466269
BA.4.6,2022-09-17,0.106111735
BA.5,2022-09-17,0.828356028
BF.7,2022-09-17,0.019199388
Other,2022-09-17,0.00531564
Other,2022-09-17,0.001761236
Other,2022-09-17,0.000963972
BA.4.6,2022-09-10,0.091804869
Other,2022-09-10,0.000700414
Other,2022-09-10,1.42e-10
Other,2022-09-10,0.0
Other,2022-09-10,2.26e-07
Other,2022-09-10,1.03e-06
BA.5,2022-09-10,0.874987006
BA.4,2022-09-10,0.02202311
BA.2,2022-09-10,0.010483368
Other,2022-09-10,0.0
Other,2022-09-10,0.0
Other,2022-09-10,8.5e-05
Other,2022-09-10,0.001512059
Other,2022-09-10,0.002058051
Other,2022-09-10,0.004744608
Other,2022-09-10,0.001833679
BA.4,2022-09-10,0.026496381
BA.4.6,2022-09-10,0.103003651
