Weekly Deaths,Weekly Cases,PercentOneDose,PercentCompleted,PercentFirstBooster,Administered,PeopleOneOrMore,PercentSeniorBooster
9523,4144938,74.5,63.8,39.4,532523597,247456745,0.8
12076,5489860,75.1,64.1,41.2,539630858,249319876,0.8
14401,5589403,75.5,64.4,42.4,545207423,250756791,0.9
17675,4401234,75.9,64.7,43.3,549748283,251888888,0.9
17299,2692886,76.1,65.0,43.8,553157166,252744602,1.0
16128,1482175,76.3,65.2,44.2,556064267,253483983,1.0
14920,924965,76.5,65.4,44.6,558534694,254102352,1.1
12631,547613,76.7,65.6,44.9,560571488,254614257,1.2
10556,367716,76.8,65.7,45.1,562109987,255013763,1.2
9560,254708,76.9,65.8,45.3,563421788,255355917,1.3
8080,213129,77.0,65.9,45.5,564681190,255687781,1.4
5212,192444,77.1,66.0,45.6,565859776,256006600,1.5
4206,193046,77.2,66.1,45.8,569152237,256434232,4.4
3994,194600,77.4,66.3,46.0,572724126,256841798,7.8
3859,226512,77.5,66.4,46.2,575844774,257214954,10.7
3047,291769,77.6,66.5,46.3,578663106,257555649,13.3
2970,367353,77.7,66.6,46.5,581323743,257880459,15.6
2805,450185,77.8,66.6,46.6,583724427,258183186,17.6
2335,588378,77.9,66.7,46.7,586228929,258502575,19.7
4154,696358,78.0,66.8,46.9,588897654,258836105,21.8
2659,771946,78.0,66.9,47.1,590888302,259097949,23.3
2127,715689,78.1,67.0,47.2,592960113,259383041,24.7
2346,771661,78.2,67.0,47.4,594740029,259646173,25.9
2173,725592,78.3,67.1,47.5,596300623,259897923,26.8
2029,693800,78.4,67.1,47.6,597939105,260334845,27.7
2557,771796,78.5,67.2,47.7,599205316,260674553,28.3
1700,779723,78.6,67.2,47.9,600842459,261075257,29.2
3443,865597,78.8,67.3,48.0,603011558,261500389,30.5
2813,905366,78.9,67.4,48.1,605054340,261898378,31.7
3170,924235,79.0,67.5,48.2,606685788,262245189,32.5
3554,839467,79.1,67.5,48.3,608072964,262563600,33.1
3934,772447,79.2,67.6,48.4,609288827,262854048,33.6
3041,694190,79.2,67.6,48.5,610352708,263115912,34.0
3247,651675,79.3,67.7,48.5,611265689,263349133,34.3
4052,616637,79.4,67.7,48.6,611851100,263504116,34.4
2972,525650,79.5,67.8,48.6,614686935,263826614,35.1
3230,471611,79.6,67.9,48.7,618116882,264176559,36.0
3158,395071,79.7,68.0,48.8,622068616,264564363,37.1
2974,342162,79.8,68.1,48.9,626055729,264942526,38.3
2994,309887,79.9,68.2,49.1,630145435,265329365,39.6
2582,265175,80.0,68.2,49.1,632905664,265591330,40.6
