Weekly Deaths,Weekly Cases,PercentOneDose,PercentCompleted,PercentFirstBooster,Administered,PeopleOneOrMore,PercentSeniorBooster
19312,1605482,3.7,0.6,0.0,14273599,12135244,0.0
23376,1708055,5.4,0.9,0.0,21400606,17887626,0.0
21554,1377786,7.5,1.6,0.0,30659826,24752625,0.0
22568,1140548,9.5,2.6,0.0,41078104,31568602,0.0
21188,954622,11.6,4.1,0.0,53260886,38576199,0.0
19132,727611,13.6,5.7,0.0,65475616,45090285,0.0
14332,539437,15.1,7.5,0.0,76619223,50020551,0.0
13865,476656,17.7,9.6,0.0,92636501,58831258,0.0
13628,443591,21.0,11.7,0.0,109910517,69873420,0.0
9815,392829,24.7,14.0,0.0,128337615,81844623,0.0
7515,382907,28.4,16.0,0.0,146839978,94147418,0.0
7290,403438,32.0,18.9,0.0,168144071,106350200,0.0
6351,449042,35.9,22.3,0.0,190670229,119104450,0.0
7133,458936,39.9,26.3,0.0,214627001,132598780,0.0
5305,497487,42.7,29.5,0.0,235033308,141917451,0.0
5053,445911,45.1,32.8,0.0,253844469,149645175,0.0
5072,369329,46.9,36.1,0.0,270147383,155551553,0.0
5090,325226,48.1,39.0,0.0,283585181,159809632,0.0
4357,253265,49.9,41.4,0.0,297057684,165751974,0.0
4054,208352,51.5,43.3,0.0,308133279,170976887,0.0
3961,161089,52.4,44.5,0.0,314902611,174063065,0.0
3707,111197,53.3,46.0,0.0,322541510,176827608,0.0
2781,100173,54.0,47.4,0.0,329321471,179143863,0.0
2329,86917,54.6,48.4,0.0,334274764,181194273,0.0
2028,82405,55.2,49.1,0.0,338445740,183124636,0.0
1908,94283,55.6,49.7,0.0,341711755,184721370,0.0
1666,110154,56.2,50.2,0.0,345157494,186501720,0.0
1898,180125,56.8,50.7,0.0,348667301,188502502,0.0
1980,290092,57.6,51.2,0.0,352772826,191227769,0.0
2347,456376,58.6,51.7,0.0,357400867,194419566,0.0
3016,674164,59.6,52.2,0.0,362394081,197839717,0.0
4872,906547,60.5,52.8,0.2,367759583,200974760,0.2
6118,1006142,61.4,53.6,0.5,373721584,203898440,0.3
7834,1015128,62.3,54.4,0.9,379885592,206735481,0.5
10129,1181626,62.9,55.1,1.2,384802299,208875574,0.6
10843,1045657,63.6,55.9,1.5,390040071,211142308,0.8
13825,1086670,64.2,56.6,1.7,394701014,212984871,1.0
14353,921018,64.7,57.2,2.7,400286429,214728905,0.9
14557,801384,65.2,57.8,4.3,406946179,216392717,0.8
12651,706056,65.6,58.3,5.8,412826357,217870885,0.8
11186,618676,66.0,58.7,7.1,418141442,219231135,0.8
11977,533190,66.5,59.1,9.5,425637578,220807663,0.8
9370,505044,67.0,59.5,12.6,434933937,222559640,0.8
8555,504145,67.9,59.8,15.6,444813048,225286449,0.8
8293,538283,68.9,60.1,18.5,455234849,228777604,0.8
8284,614951,69.9,60.4,21.9,466423958,232018805,0.8
8236,669796,70.4,60.9,23.9,474171988,233860965,0.8
7322,616394,71.2,61.7,27.3,487011443,236515639,0.8
11326,844337,71.9,62.3,30.3,498269417,238880283,0.8
9686,840143,72.7,62.7,33.5,509254549,241443080,0.8
11768,1167093,73.3,63.0,35.5,516700460,243326855,0.8
9381,2160731,73.9,63.4,37.3,523820961,245216524,0.8
9523,4144938,74.5,63.8,39.4,532523597,247456745,0.8
12076,5489860,75.1,64.1,41.2,539630858,249319876,0.8
14401,5589403,75.5,64.4,42.4,545207423,250756791,0.9
17675,4401234,75.9,64.7,43.3,549748283,251888888,0.9
17299,2692886,76.1,65.0,43.8,553157166,252744602,1.0
16128,1482175,76.3,65.2,44.2,556064267,253483983,1.0
14920,924965,76.5,65.4,44.6,558534694,254102352,1.1
12631,547613,76.7,65.6,44.9,560571488,254614257,1.2
10556,367716,76.8,65.7,45.1,562109987,255013763,1.2
9560,254708,76.9,65.8,45.3,563421788,255355917,1.3
8080,213129,77.0,65.9,45.5,564681190,255687781,1.4
5212,192444,77.1,66.0,45.6,565859776,256006600,1.5
4206,193046,77.2,66.1,45.8,569152237,256434232,4.4
3994,194600,77.4,66.3,46.0,572724126,256841798,7.8
3859,226512,77.5,66.4,46.2,575844774,257214954,10.7
3047,291769,77.6,66.5,46.3,578663106,257555649,13.3
2970,367353,77.7,66.6,46.5,581323743,257880459,15.6
2805,450185,77.8,66.6,46.6,583724427,258183186,17.6
2335,588378,77.9,66.7,46.7,586228929,258502575,19.7
4154,696358,78.0,66.8,46.9,588897654,258836105,21.8
2659,771946,78.0,66.9,47.1,590888302,259097949,23.3
2127,715689,78.1,67.0,47.2,592960113,259383041,24.7
2346,771661,78.2,67.0,47.4,594740029,259646173,25.9
2173,725592,78.3,67.1,47.5,596300623,259897923,26.8
2029,693800,78.4,67.1,47.6,597939105,260334845,27.7
2557,771796,78.5,67.2,47.7,599205316,260674553,28.3
1700,779723,78.6,67.2,47.9,600842459,261075257,29.2
3443,865597,78.8,67.3,48.0,603011558,261500389,30.5
2813,905366,78.9,67.4,48.1,605054340,261898378,31.7
3170,924235,79.0,67.5,48.2,606685788,262245189,32.5
3554,839467,79.1,67.5,48.3,608072964,262563600,33.1
3934,772447,79.2,67.6,48.4,609288827,262854048,33.6
3041,694190,79.2,67.6,48.5,610352708,263115912,34.0
3247,651675,79.3,67.7,48.5,611265689,263349133,34.3
4052,616637,79.4,67.7,48.6,611851100,263504116,34.4
2972,525650,79.5,67.8,48.6,614686935,263826614,35.1
3230,471611,79.6,67.9,48.7,618116882,264176559,36.0
3158,395071,79.7,68.0,48.8,622068616,264564363,37.1
2974,342162,79.8,68.1,48.9,626055729,264942526,38.3
2994,309887,79.9,68.2,49.1,630145435,265329365,39.6
2582,265175,80.0,68.2,49.1,632905664,265591330,40.6
