usa_or_hhsregion,week_ending,variant,share,share_hi,share_lo,nchs_or_count_flag,modeltype,time_interval,published_date
USA,10/22/2022 0:00,BA.4.6,0.113204591,0.125906333,0.101619527,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/22/2022 0:00,BF.7,0.06650722,0.075899228,0.058186993,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/22/2022 0:00,BQ.1,0.093988135,0.129014984,0.067450456,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/22/2022 0:00,BA.2.75,0.015594382,0.01926543,0.012598924,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/22/2022 0:00,BQ.1.1,0.071612872,0.104466811,0.0481943,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/22/2022 0:00,BA.2.75.2,0.013429973,0.01891657,0.00947215,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/22/2022 0:00,BA.2.12.1,1.03E-05,1.27E-05,8.33E-06,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/22/2022 0:00,BA.1.1,1.09E-06,1.24E-05,0,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/22/2022 0:00,B.1.617.2,5.89E-07,7.19E-06,0,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/22/2022 0:00,B.1.1.529,2.26E-07,5.09E-06,0,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/22/2022 0:00,Other,0.000185971,0.000341937,9.84E-05,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/22/2022 0:00,BA.5,0.621678591,0.663068533,0.578480005,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/22/2022 0:00,BA.4,0.00378544,0.004276047,0.003350165,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/22/2022 0:00,BA.2,6.39E-07,9.63E-07,4.20E-07,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/15/2022 0:00,BA.4.6,0.119251385,0.130474493,0.108862638,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/15/2022 0:00,BF.7,0.054447364,0.060852595,0.04867281,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/15/2022 0:00,BQ.1,0.057626966,0.076407582,0.043122701,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/15/2022 0:00,BA.2.75,0.014343166,0.017421562,0.011791307,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/15/2022 0:00,BQ.1.1,0.03619647,0.049892683,0.026048075,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/15/2022 0:00,BA.2.75.2,0.010429993,0.014120537,0.00767006,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/15/2022 0:00,BA.2.12.1,2.29E-05,2.75E-05,1.91E-05,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/15/2022 0:00,BA.1.1,1.90E-06,1.94E-05,3.46E-09,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/15/2022 0:00,B.1.617.2,9.05E-07,9.79E-06,3.33E-10,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/15/2022 0:00,B.1.1.529,4.05E-07,8.08E-06,0,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/15/2022 0:00,Other,0.000256235,0.000451481,0.000142271,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/15/2022 0:00,BA.5,0.70181936,0.728824317,0.673356652,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/15/2022 0:00,BA.4,0.005601342,0.006192185,0.005065938,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/15/2022 0:00,BA.2,1.55E-06,2.28E-06,1.05E-06,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/15/2022 0:00,BA.4.6,0.122120246,0.134265885,0.11092028,NULL,smoothed,weekly,10/14/2022 0:00
USA,10/15/2022 0:00,BF.7,0.052955095,0.060755,0.046092115,NULL,smoothed,weekly,10/14/2022 0:00
USA,10/15/2022 0:00,BA.2.75,0.012713832,0.016064256,0.010038991,NULL,smoothed,weekly,10/14/2022 0:00
USA,10/15/2022 0:00,BQ.1,0.056596011,0.088660546,0.035262208,NULL,smoothed,weekly,10/14/2022 0:00
USA,10/15/2022 0:00,BA.2.75.2,0.014365491,0.021528963,0.009484691,NULL,smoothed,weekly,10/14/2022 0:00
USA,10/15/2022 0:00,BA.2.12.1,2.20E-05,2.62E-05,1.84E-05,NULL,smoothed,weekly,10/14/2022 0:00
USA,10/15/2022 0:00,BQ.1.1,0.057117522,0.091241077,0.034797873,NULL,smoothed,weekly,10/14/2022 0:00
USA,10/15/2022 0:00,BA.1.1,3.66E-07,3.13E-06,5.05E-09,NULL,smoothed,weekly,10/14/2022 0:00
USA,10/15/2022 0:00,B.1.617.2,4.52E-07,3.88E-06,6.02E-09,NULL,smoothed,weekly,10/14/2022 0:00
USA,10/15/2022 0:00,B.1.1.529,9.45E-08,1.79E-06,0,NULL,smoothed,weekly,10/14/2022 0:00
USA,10/15/2022 0:00,Other,6.40E-05,0.000115267,3.47E-05,NULL,smoothed,weekly,10/14/2022 0:00
USA,10/15/2022 0:00,BA.5,0.678518534,0.71382618,0.641092896,NULL,smoothed,weekly,10/14/2022 0:00
USA,10/15/2022 0:00,BA.4,0.005525742,0.006181855,0.004938034,NULL,smoothed,weekly,10/14/2022 0:00
USA,10/15/2022 0:00,BA.2,6.49E-07,9.34E-07,4.48E-07,NULL,smoothed,weekly,10/14/2022 0:00
USA,10/8/2022 0:00,BA.4.6,0.119431108,0.129875541,0.109712362,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/8/2022 0:00,BF.7,0.042377915,0.046773564,0.038373988,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/8/2022 0:00,BQ.1,0.033591785,0.04281323,0.026254674,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/8/2022 0:00,BA.2.75,0.01254228,0.014986885,0.010484733,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/8/2022 0:00,BQ.1.1,0.017393859,0.022762442,0.013242106,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/8/2022 0:00,BA.2.75.2,0.007701007,0.010059301,0.00587839,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/8/2022 0:00,BA.2.12.1,4.87E-05,5.73E-05,4.13E-05,NULL,smoothed,weekly,10/21/2022 0:00
USA,10/8/2022 0:00,BA.1.1,3.15E-06,2.86E-05,2.66E-08,NULL,smoothed,weekly,10/21/2022 0:00
